,year,month,day,hour,pollution,dew,temp,press,wnd_dir,wnd_spd,snow,rain,cos,sin,weekdays,NE_strength,NW_strength,NS_strength,cv_strength
0,2010,1,2,0,129.0,-16,-4.0,1020.0,SE,1.79,0,0,1.0,0.0,1.0,0.0,0.0,1.79,0.0
1,2010,1,2,1,148.0,-15,-4.0,1020.0,SE,2.68,0,0,0.9999997427700638,0.0007172585352098696,0.0,0.0,0.0,2.68,0.0
2,2010,1,2,2,159.0,-11,-5.0,1021.0,SE,3.57,0,0,0.9999989710803874,0.0014345167014190047,0.0,0.0,0.0,3.57,0.0
3,2010,1,2,3,181.0,-7,-5.0,1022.0,SE,5.36,1,0,0.9999976849313678,0.0021517741296268604,1.0,0.0,0.0,5.36,0.0
4,2010,1,2,4,138.0,-7,-5.0,1022.0,SE,6.25,2,0,0.9999958843236668,0.002869030450833272,1.0,0.0,0.0,6.25,0.0
5,2010,1,2,5,109.0,-7,-6.0,1022.0,SE,7.14,3,0,0.9999935692582104,0.003586285296038644,1.0,0.0,0.0,7.14,0.0
6,2010,1,2,6,105.0,-7,-6.0,1023.0,SE,8.93,4,0,0.99999073973619,0.0043035382962441394,1.0,0.0,0.0,8.93,0.0
7,2010,1,2,7,124.0,-7,-5.0,1024.0,SE,10.72,0,0,0.9999873957590614,0.00502078908245187,1.0,0.0,0.0,10.72,0.0
8,2010,1,2,8,120.0,-8,-6.0,1024.0,SE,12.51,0,0,0.9999835373285444,0.005738037285665092,0.0,0.0,0.0,12.51,0.0
9,2010,1,2,9,132.0,-7,-5.0,1025.0,SE,14.3,0,0,0.9999791644466244,0.006455282536888382,0.0,0.0,0.0,14.3,0.0
10,2010,1,2,10,140.0,-7,-5.0,1026.0,SE,17.43,1,0,0.9999742771155508,0.007172524467127844,1.0,0.0,0.0,17.43,0.0
11,2010,1,2,11,152.0,-8,-5.0,1026.0,SE,20.56,0,0,0.9999688753378382,0.007889762707391277,1.0,0.0,0.0,20.56,0.0
12,2010,1,2,12,148.0,-8,-5.0,1026.0,SE,23.69,0,0,0.9999629591162656,0.0086069968886884,1.0,0.0,0.0,23.69,0.0
13,2010,1,2,13,164.0,-8,-5.0,1025.0,SE,27.71,0,0,0.9999565284538764,0.009324226642031,1.0,0.0,0.0,27.71,0.0
14,2010,1,2,14,158.0,-9,-5.0,1025.0,SE,31.73,0,0,0.9999495833539792,0.010041451598433148,1.0,0.0,0.0,31.73,0.0
15,2010,1,2,15,154.0,-9,-5.0,1025.0,SE,35.75,0,0,0.9999421238201466,0.010758671388911385,0.0,0.0,0.0,35.75,0.0
16,2010,1,2,16,159.0,-9,-5.0,1026.0,SE,37.54,0,0,0.9999341498562166,0.011475885644484915,0.0,0.0,0.0,37.54,0.0
17,2010,1,2,17,164.0,-8,-5.0,1027.0,SE,39.33,0,0,0.9999256614662914,0.01219309399617578,1.0,0.0,0.0,39.33,0.0
18,2010,1,2,18,170.0,-8,-5.0,1027.0,SE,42.46,0,0,0.999916658654738,0.01291029607500906,1.0,0.0,0.0,42.46,0.0
19,2010,1,2,19,149.0,-8,-5.0,1028.0,SE,44.25,0,0,0.9999071414261876,0.013627491512013071,1.0,0.0,0.0,44.25,0.0
20,2010,1,2,20,154.0,-7,-5.0,1028.0,SE,46.04,0,0,0.9998971097855368,0.01434467993821953,1.0,0.0,0.0,46.04,0.0
21,2010,1,2,21,164.0,-7,-5.0,1027.0,SE,49.17,1,0,0.9998865637379466,0.015061860984663781,1.0,0.0,0.0,49.17,0.0
22,2010,1,2,22,156.0,-8,-6.0,1028.0,SE,52.3,2,0,0.999875503288842,0.015779034282384946,0.0,0.0,0.0,52.3,0.0
23,2010,1,2,23,126.0,-8,-6.0,1027.0,SE,55.43,3,0,0.9998639284439136,0.016496199462426153,0.0,0.0,0.0,55.43,0.0
24,2010,1,3,0,90.0,-7,-6.0,1027.0,SE,58.56,4,0,0.9998518392091162,0.017213356155834685,1.0,0.0,0.0,58.56,0.0
25,2010,1,3,1,63.0,-8,-6.0,1026.0,SE,61.69,5,0,0.9998392355906691,0.0179305039936622,1.0,0.0,0.0,61.69,0.0
26,2010,1,3,2,65.0,-8,-7.0,1026.0,SE,65.71,6,0,0.999826117595056,0.018647642606964925,1.0,0.0,0.0,65.71,0.0
27,2010,1,3,3,55.0,-8,-7.0,1025.0,SE,68.84,7,0,0.9998124852290262,0.019364771626803803,1.0,0.0,0.0,68.84,0.0
28,2010,1,3,4,65.0,-8,-7.0,1024.0,SE,72.86,8,0,0.9997983384995928,0.020081890684244742,1.0,0.0,0.0,72.86,0.0
29,2010,1,3,5,83.0,-9,-8.0,1024.0,SE,76.88,9,0,0.9997836774140334,0.020798999410358763,0.0,0.0,0.0,76.88,0.0
30,2010,1,3,6,91.0,-10,-8.0,1024.0,SE,80.9,10,0,0.9997685019798908,0.021516097436222195,0.0,0.0,0.0,80.9,0.0
31,2010,1,3,7,86.0,-10,-9.0,1024.0,SE,84.92,11,0,0.9997528122049724,0.022233184392916886,1.0,0.0,0.0,84.92,0.0
32,2010,1,3,8,82.0,-10,-9.0,1024.0,SE,89.84,12,0,0.9997366080973494,0.02295025991153037,1.0,0.0,0.0,89.84,0.0
33,2010,1,3,9,86.0,-11,-9.0,1023.0,SE,93.86,13,0,0.9997198896653586,0.023667323623156062,1.0,0.0,0.0,93.86,0.0
34,2010,1,3,10,78.0,-11,-9.0,1023.0,SE,97.88,15,0,0.9997026569176009,0.024384375158893464,1.0,0.0,0.0,97.88,0.0
35,2010,1,3,11,98.0,-11,-9.0,1022.0,SE,102.8,16,0,0.9996849098629416,0.025101414149848327,1.0,0.0,0.0,102.8,0.0
36,2010,1,3,12,107.0,-11,-9.0,1021.0,SE,105.93,17,0,0.9996666485105112,0.025818440227132877,0.0,0.0,0.0,105.93,0.0
37,2010,1,3,13,90.0,-11,-9.0,1020.0,SE,111.74,19,0,0.9996478728697042,0.026535453021865947,0.0,0.0,0.0,111.74,0.0
38,2010,1,3,14,96.0,-11,-9.0,1020.0,SE,116.66,20,0,0.99962858295018,0.027252452165173247,1.0,0.0,0.0,116.66,0.0
39,2010,1,3,15,95.0,-11,-9.0,1020.0,SE,121.58,21,0,0.9996087787618624,0.02796943728818748,1.0,0.0,0.0,121.58,0.0
40,2010,1,3,16,86.0,-11,-9.0,1020.0,SE,124.71,22,0,0.99958846031494,0.028686408022048568,1.0,0.0,0.0,124.71,0.0
41,2010,1,3,17,70.0,-11,-9.0,1020.0,SE,127.84,23,0,0.9995676276198658,0.029403363997903838,1.0,0.0,0.0,127.84,0.0
42,2010,1,3,18,61.0,-11,-9.0,1021.0,cv,0.89,24,0,0.9995462806873572,0.030120304846908225,1.0,0.0,0.0,0.0,0.89
43,2010,1,3,19,53.0,-11,-9.0,1022.0,cv,1.78,25,0,0.9995244195283968,0.030837230200224417,0.0,0.0,0.0,0.0,1.78
44,2010,1,3,20,71.0,-10,-9.0,1022.0,NW,4.02,26,0,0.9995020441542306,0.031554139689023084,0.0,0.0,4.02,0.0,0.0
45,2010,1,3,21,72.0,-11,-10.0,1023.0,NW,7.15,27,0,0.9994791545763704,0.03227103294448309,1.0,0.0,7.15,0.0,0.0
46,2010,1,3,22,76.0,-11,-9.0,1023.0,NW,11.17,0,0,0.9994557508065915,0.03298790959779158,1.0,0.0,11.17,0.0,0.0
47,2010,1,3,23,73.0,-12,-11.0,1023.0,NW,14.3,0,0,0.9994318328569348,0.03370476928014432,1.0,0.0,14.3,0.0,0.0
48,2010,1,4,0,79.0,-14,-12.0,1023.0,NW,16.09,0,0,0.9994074007397048,0.034421611622745735,1.0,0.0,16.09,0.0,0.0
49,2010,1,4,1,58.0,-16,-9.0,1023.0,NW,21.9,0,0,0.9993824544674706,0.035138436256809236,1.0,0.0,21.9,0.0,0.0
50,2010,1,4,2,25.0,-17,-10.0,1024.0,NW,29.95,0,0,0.9993569940530664,0.035855242813557314,0.0,0.0,29.95,0.0,0.0
51,2010,1,4,3,26.0,-18,-11.0,1024.0,NW,39.78,0,0,0.9993310195095906,0.036572030924221725,0.0,0.0,39.78,0.0,0.0
52,2010,1,4,4,28.0,-19,-11.0,1025.0,NW,48.72,0,0,0.9993045308504058,0.03728880022004378,1.0,0.0,48.72,0.0,0.0
53,2010,1,4,5,26.0,-20,-12.0,1026.0,NW,55.87,0,0,0.9992775280891396,0.038005550332274415,1.0,0.0,55.87,0.0,0.0
54,2010,1,4,6,20.0,-21,-12.0,1027.0,NW,64.81,0,0,0.9992500112396836,0.038722280892174485,1.0,0.0,64.81,0.0,0.0
55,2010,1,4,7,29.0,-21,-13.0,1027.0,NW,73.75,0,0,0.9992219803161941,0.03943899153101487,1.0,0.0,73.75,0.0,0.0
56,2010,1,4,8,26.0,-22,-13.0,1028.0,NW,80.9,0,0,0.999193435333092,0.04015568188007669,1.0,0.0,80.9,0.0,0.0
